"category","group","measure","year","value"
"All","All","per capita annuity",2015,-68
"Age","62-69","per capita annuity",2015,-57
"Age","70-74","per capita annuity",2015,-109
"Age","75-79","per capita annuity",2015,-85
"Age","80-84","per capita annuity",2015,-69
"Age","85+","per capita annuity",2015,-17
"Sex","Female","per capita annuity",2015,-60
"Sex","Male","per capita annuity",2015,-78
"Education","1.High School Dropout","per capita annuity",2015,-35
"Education","2.High School Graduate","per capita annuity",2015,-65
"Education","3.Some College","per capita annuity",2015,-64
"Education","4.College Graduate","per capita annuity",2015,-98
"Race Ethnicity","1.White","per capita annuity",2015,-77
"Race Ethnicity","2.Black","per capita annuity",2015,-50
"Race Ethnicity","3.Hispanic","per capita annuity",2015,-37
"Race Ethnicity","4.Other","per capita annuity",2015,-33
"Marital Status","Married","per capita annuity",2015,-73
"Marital Status","Widowed","per capita annuity",2015,-66
"Marital Status","Divorced","per capita annuity",2015,-54
"Marital Status","Single","per capita annuity",2015,-69
"Shared Work Years","0-9","per capita annuity",2015,0
"Shared Work Years","10-14","per capita annuity",2015,-4
"Shared Work Years","15-19","per capita annuity",2015,-20
"Shared Work Years","20-24","per capita annuity",2015,-42
"Shared Work Years","25-29","per capita annuity",2015,-35
"Shared Work Years","30-34","per capita annuity",2015,-55
"Shared Work Years","35-39","per capita annuity",2015,-65
"Shared Work Years","40+","per capita annuity",2015,-101
"Own Work Years","0-9","per capita annuity",2015,-11
"Own Work Years","10-14","per capita annuity",2015,-35
"Own Work Years","15-19","per capita annuity",2015,-33
"Own Work Years","20-24","per capita annuity",2015,-37
"Own Work Years","25-29","per capita annuity",2015,-38
"Own Work Years","30-34","per capita annuity",2015,-61
"Own Work Years","35-39","per capita annuity",2015,-45
"Own Work Years","40+","per capita annuity",2015,-99
"Shared Income Quintile","bottom quintile","per capita annuity",2015,-10
"Shared Income Quintile","2nd quintile","per capita annuity",2015,-47
"Shared Income Quintile","3rd quintile","per capita annuity",2015,-58
"Shared Income Quintile","4th quintile","per capita annuity",2015,-88
"Shared Income Quintile","top quintile","per capita annuity",2015,-130
"Shared Lifetime Earnings Quintile","bottom quintile","per capita annuity",2015,-13
